#	多语言表																	
#	Key	ChineseSimplified	ChineseTraditional	English	Japanese	Korean	French	German	Spanish	Portuguese	Russian	Italian	Thai	Vietnamese	Indonesian	Arabic	Turkish	Hindi
#	多语言key	中文	繁中	英语	日语	韩语	法语	德语	西班牙语	葡萄牙语	俄语	意大利语	泰语	越南语	印尼语	阿拉伯语	土耳其语	印地语
	#check_update	正在检查	正在檢查	Checking	チェック中	검사 중	Vérification en cours	Wird geprüft	Comprobando	Verificando	Проверка	Verifica in corso	กำลังตรวจสอบ	Đang kiểm tra	Sedang memeriksa	جارٍ الفحص	Kontrol ediliyor	जाँच जारी है
	#download_update	正在下载	正在下載	Downloading	ダウンロード中	다운로드 중	Téléchargement en cours	Wird heruntergeladen	Descargando	Baixando	Загрузка	Download in corso	กำลังดาวน์โหลด	Đang tải xuống	Mengunduh	جارٍ التحميل	İndiriliyor	डाउनलोड हो रहा है
	#launch_update	开始启动	開始啟動	Start	開始する	시작	Démarrer	Start	Iniciar	Iniciar	Запустить	Avviare	เริ่มต้น	Bắt đầu	Mulai	ابدأ	Başlat	शुरू करें
	#download_fail	下载失败	下載失敗	Download failed	ダウンロード失敗	다운로드 실패	Échec du téléchargement	Download fehlgeschlagen	Descarga fallida	Falha no download	Ошибка загрузки	Download fallito	ดาวน์โหลดล้มเหลว	Tải xuống thất bại	Unduhan gagal	فشل التحميل	İndirme başarısız	डाउनलोड विफल
	#retry	重试	重試	Retry	再試行	다시 시도	Réessayer	Erneut versuchen	Reintentar	Tentar novamente	Повторить	Riprova	ลองใหม่	Thử lại	Coba lagi	إعادة المحاولة	Tekrar dene	पुनः प्रयास
	#check_network	请检查网络	請檢查網路	Please check the network	ネットワークを確認してください	네트워크를 확인해 주세요	Veuillez vérifier le réseau	Bitte prüfen Sie das Netzwerk	"Por favor, revise la red"	"Por favor, verifique a rede"	"Пожалуйста, проверьте сеть"	Si prega di controllare la rete	กรุณาตรวจสอบเครือข่าย	Vui lòng kiểm tra mạng	Silakan periksa jaringan	يرجى التحقق من الشبكة	Lütfen ağı kontrol edin	कृपया नेटवर्क की जाँच करें
	#loading	加载中	載入中	Loading	ロード中	로딩 중	Chargement	Laden	Cargando	Carregando	Загружается	Caricamento	กำลังโหลด	Đang tải	Memuat	جارٍ التحميل	Yükleniyor	लोड हो रहा है
	#verify_dll_fail	验证失败	驗證失敗	Verification failed	検証に失敗しました	인증에 실패했습니다	Échec de la vérification	Verifizierung fehlgeschlagen	Verificación fallida	Falha na verificação	Ошибка проверки	Verifica fallita	การตรวจสอบล้มเหลว	Xác thực thất bại	Verifikasi gagal	فشل التحقق	Doğrulama başarısız	प्रमाणीकरण विफल
	#network_check_tips	请检查网络连接或稍后重试	請檢查網路連接或稍後重試	Please check your network connection or try again later	ネットワーク接続を確認するか、後でもう一度お試しください	네트워크 연결을 확인하거나 나중에 다시 시도해 주세요	Veuillez vérifier votre connexion réseau ou réessayer plus tard	Bitte überprüfen Sie Ihre Netzwerkverbindung oder versuchen Sie es später erneut	"Por favor, compruebe su conexión de red o inténtelo de nuevo más tarde"	"Por favor, verifique sua conexão de rede ou tente novamente mais tarde"	"Пожалуйста, проверьте сетевое соединение или попробуйте снова позже"	Si prega di verificare la connessione di rete o riprovare più tardi	กรุณาตรวจสอบการเชื่อมต่อเครือข่ายหรือพยายามใหม่ภายหลัง	Vui lòng kiểm tra kết nối mạng hoặc thử lại sau	Silakan periksa koneksi jaringan Anda atau coba lagi nanti	يرجى التحقق من اتصال الشبكة أو المحاولة مرة أخرى لاحقًا	Lütfen ağ bağlantınızı kontrol edin veya daha sonra tekrar deneyin	कृपया अपने नेटवर्क कनेक्शन की जाँच करें या बाद में पुनः प्रयास करें
	#network_error	网络异常	網路異常	Network error	ネットワークエラー	네트워크 오류	Erreur réseau	Netzwerkfehler	Error de red	Erro de rede	Ошибка сети	Errore di rete	ข้อผิดพลาดของเครือข่าย	Lỗi mạng	Kesalahan jaringan	خطأ في الشبكة	Ağ hatası	नेटवर्क त्रुटि
	#network_not_reachable	网络无法连接，请检查 WiFi 或蜂窝数据	網路無法連接，請檢查 WiFi 或行動數據	"Network cannot connect, please check WiFi or cellular data."	ネットワークに接続できません。Wi‑Fi またはセルラーデータを確認してください。	네트워크에 연결할 수 없습니다. Wi‑Fi 또는 셀룰러 데이터를 확인하십시오.	"Impossible de se connecter au réseau, veuillez vérifier le Wi‑Fi ou les données cellulaires."	"Netzwerk kann nicht verbunden werden, bitte überprüfen Sie Wi‑Fi oder mobile Daten."	"No se puede conectar a la red, por favor compruebe el Wi‑Fi o los datos móviles."	"Não foi possível conectar à rede, verifique o Wi‑Fi ou os dados móveis."	"Не удалось подключиться к сети, проверьте Wi‑Fi или мобильные данные."	"Impossibile connettersi alla rete, controlla Wi‑Fi o i dati cellulare."	ไม่สามารถเชื่อมต่อเครือข่ายได้ กรุณาตรวจสอบ Wi‑Fi หรือข้อมูลมือถือ	"Không thể kết nối mạng, vui lòng kiểm tra Wi‑Fi hoặc dữ liệu di động."	"Tidak dapat terhubung ke jaringan, silakan periksa Wi‑Fi atau data seluler."	لا يمكن الاتصال بالشبكة، يرجى التحقق من Wi‑Fi أو بيانات الهاتف المحمول.	"Ağ bağlanamıyor, lütfen Wi‑Fi veya hücresel verileri kontrol edin."	"नेटवर्क जुड़ नहीं सकता, कृपया Wi‑Fi या सेलुलर डेटा जाँचें।"
